# slope intercept sigma lnLike
-5.079294906400493304e-01 1.747413801019567503e-01 3.252070872886802522e-01 -2.091062857850495860e+01
-6.290549219594124830e-01 1.919276491957762620e-01 2.764083441310348777e-01 -2.026614845304620260e+01
-2.623378616733118562e-01 1.905434706426261393e-01 2.832695204791941812e-01 -2.135334531271686842e+01
-5.101668837614626861e-01 1.865352551514380675e-01 2.630806595407331194e-01 -2.038432552766020933e+01
-8.697856192306716583e-01 1.716957404741606685e-01 3.632534731033750242e-01 -2.430432990518038494e+01
-7.455965088930757156e-01 1.811475746093967609e-01 3.353621496046139128e-01 -2.195604288072211929e+01
-5.718541465362857457e-01 2.268106765160196603e-01 3.611571242339937093e-01 -2.341177421110283774e+01
-4.189104108118079095e-01 1.874239557023373581e-01 2.592924863604801899e-01 -2.076736076622574956e+01
-6.471499646985136023e-01 2.075656896601547341e-01 2.915021400038608212e-01 -2.042393568689685424e+01
-3.468635324614011695e-01 1.800980996977292747e-01 2.783783607513650171e-01 -2.065258793063276954e+01
-7.297421169890909720e-01 2.278322350924562034e-01 3.184550150080328601e-01 -2.182189541646246767e+01
-3.772576013339170586e-01 2.350325655798734259e-01 2.994756196820395067e-01 -2.153064880599028541e+01
-5.414356264212967229e-01 2.018727910505069834e-01 2.953266607310506275e-01 -2.013248289586902828e+01
-5.681145418162799610e-01 1.786859780930394326e-01 3.286055106215619026e-01 -2.104387400542372788e+01
-6.752461035477979046e-01 1.842825430491604188e-01 3.160918225603880916e-01 -2.083906970257068991e+01
-4.172217563393335049e-01 1.451544926091486443e-01 3.403833061217594880e-01 -2.220248809534209400e+01
-4.784254387894587568e-01 1.210474571731400550e-01 2.397983620570803276e-01 -2.480298982599155622e+01
-6.880945784720002845e-01 1.845498580595857918e-01 3.029861970221948142e-01 -2.057927995788406861e+01
-5.028653151481299322e-01 1.471433763309197840e-01 2.825105100178058604e-01 -2.063444722812194598e+01
-4.276561105124614404e-01 7.291183021884137250e-02 3.039795167825314892e-01 -2.494544563645958135e+01
-6.118159966363446722e-01 1.898610721164448178e-01 3.083189183792413024e-01 -2.039621238609527865e+01
-5.432680469516937283e-01 2.110130451881444824e-01 2.636022946617427309e-01 -2.062529908623053743e+01
-6.599452323283356847e-01 2.267619359422816949e-01 3.289682772954065082e-01 -2.185346123870351320e+01
-6.048506074067110383e-01 1.523595738341037009e-01 2.824930337045808426e-01 -2.061349058327214578e+01
-5.886939887350252087e-01 1.293007553326122883e-01 3.016738425586639183e-01 -2.137013728352454223e+01
-3.865257502634407150e-01 1.752450491846481162e-01 3.105591753827419699e-01 -2.072921447499082959e+01
-5.047518184399215624e-01 1.299984132678054238e-01 3.043112555917987239e-01 -2.129264051480489428e+01
-4.246169379208426520e-01 1.770204390066702493e-01 2.954616245054994539e-01 -2.024458885061050850e+01
-6.518545911632159795e-01 1.908269756072674128e-01 2.814289513264448539e-01 -2.030048716883957738e+01
-6.268069513865907050e-01 2.533009163045187306e-01 2.820176656232553647e-01 -2.205431796287741975e+01
-5.762109079447015336e-01 2.045110364003515091e-01 2.900144187422198372e-01 -2.015543821638054212e+01
-2.846678761354901055e-01 2.184693983518195548e-01 3.109105673941567338e-01 -2.188399052289933877e+01
-4.420948017464916280e-01 2.512805396380863310e-01 3.340718455991530389e-01 -2.295656332425338420e+01
